University,City,Country,City_Country,lon,lat
Queen's University Belfast,Belfast,Northern Ireland,"Belfast, Northern Ireland",-5.93012,54.59728500000001
UiT The Arctic University of Norway,Tromso,Norway,"Tromso, Norway",18.9553239,69.6492047
University of Oslo,Oslo,Norway,"Oslo, Norway",10.7522454,59.9138688
University of the Philippines Diliman,Quezon City,Philippines,"Quezon City, Philippines",121.0437003,14.6760413
"Jagiellonian University, Institute of Psychology",Krakow,Poland,"Krakow, Poland",19.9449799,50.06465009999999
University of Porto,Porto,Portugal,"Porto, Portugal",-8.629105299999999,41.1579438
Higher School of Economics,Moscow,Russia,"Moscow, Russia",37.6172999,55.755826
Higher School of Economics,Moscow,Russia,"Moscow, Russia",37.6172999,55.755826
Lomonosov Moscow State University,Moscow,Russia,"Moscow, Russia",37.6172999,55.755826
Moscow State University,Moscow,Russia,"Moscow, Russia",37.6172999,55.755826
Psychological Institute of Russian Academy of Education,Moscow,Russia,"Moscow, Russia",37.6172999,55.755826
Russian Academy of National Economy and Public Administration,Moscow,Russia,"Moscow, Russia",37.6172999,55.755826
"Institute of Psychology, Department of psychology, University of Belgrade",Belgrade,Serbia,"Belgrade, Serbia",20.4489216,44.786568
"Laboratory for Neurocognition and Applied Cognition, Faculty of Philosophy, University of Belgrade",Belgrade,Serbia,"Belgrade, Serbia",20.4489216,44.786568
"Institute of Psychology, University of Prešov, Slovakia",Presov,Slovakia,"Presov, Slovakia",21.2393119,49.0018324
"ICS, Seoul National University, Korea",Seoul,South Korea,"Seoul, South Korea",126.9779692,37.566535
Universidad Autónoma de Madrid,Madrid,Spain,"Madrid, Spain",-3.7037902,40.4167754
Karolinska Institutet,Solna,Sweden,"Solna, Sweden",18.0084334,59.36887909999999
Lund University,Lund,Sweden,"Lund, Sweden",13.1910073,55.7046601
ETH Zurich,Zurich,Switzerland,"Zurich, Switzerland",8.541694,47.3768866
University of Basel,Basel,Switzerland,"Basel, Switzerland",7.5885761,47.5595986
university of Geneva,Geneva,Switzerland,"Geneva, Switzerland",6.1431577,46.2043907
University of St. Gallen,St. Gallen,Switzerland,"St. Gallen, Switzerland",9.3767173,47.4244818
National Cheng Kung University,Tainan,Taiwan,"Tainan, Taiwan",120.2270277,22.9997281
Tzu-Chi University,Hualian,Taiwan,"Hualian, Taiwan",121.6111949,23.9910732
"Chulalongkorn University, Bangkok",Bangkok,Thailand,"Bangkok, Thailand",100.5017651,13.7563309
Bogazici University,Istanbul,Turkey,"Istanbul, Turkey",28.9783589,41.0082376
Boğaziçi University,Istanbul,Turkey,"Istanbul, Turkey",28.9783589,41.0082376
Koc University,Istanbul,Turkey,"Istanbul, Turkey",28.9783589,41.0082376
Koç University,Istanbul,Turkey,"Istanbul, Turkey",28.9783589,41.0082376
Middle East Technical University,Ankara,Turkey,"Ankara, Turkey",32.8597419,39.9333635
Abertay University Dundee,Dundee,UK,"Dundee, UK",-2.970721,56.462018
Bangor University,Gwynedd,UK,"Gwynedd, UK",-4.1334836,52.9277266
Brunel University London,London,UK,"London, UK",-0.1277583,51.5073509
Canterbury Christ Church University,Canterbury,UK,"Canterbury, UK",1.0789089,51.280233
Canterbury Christ Church University,Canterbury,UK,"Canterbury, UK",1.0789089,51.280233
Coventry University,Coventry,UK,"Coventry, UK",-1.519693,52.406822
Swansea University,Swansea,UK,"Swansea, UK",-3.943645999999999,51.62144
University of Dundee,Dundee,UK,"Dundee, UK",-2.970721,56.462018
University of Dundee,Dundee,UK,"Dundee, UK",-2.970721,56.462018
University of East Anglia,Norwich,UK,"Norwich, UK",1.297355,52.6308859
University of Edinburgh,Edinburgh,UK,"Edinburgh, UK",-3.188267,55.953252
University of Edinburgh,Edinburgh,UK,"Edinburgh, UK",-3.188267,55.953252
University of Essex,Colchester,UK,"Colchester, UK",0.8918740000000001,51.895927
University of Glasgow,Glasgow,UK,"Glasgow, UK",-4.251806,55.864237
University of Glasgow,Glasgow,UK,"Glasgow, UK",-4.251806,55.864237
University of Sheffield,Sheffield,UK,"Sheffield, UK",-1.470085,53.38112899999999
University of West London,Ealing,UK,"Ealing, UK",-0.3415002,51.5250257
University of Winchester,Winchester,UK,"Winchester, UK",-1.310142,51.059771
University of York,York,UK,"York, UK",-1.0872979,53.95996510000001
Ashland University,Ashland,USA,"Ashland, USA",-122.7094767,42.1945758
Boston College,Boston,USA,"Boston, USA",-71.0588801,42.3600825
Bowling Green State University,Bowling Green,USA,"Bowling Green, USA",-86.4808043,36.9685219
Brigham Young University - Idaho,Idaho,USA,"Idaho, USA",-114.7420408,44.0682019
California State University San Marcos,San Marcos,USA,"San Marcos, USA",-97.9413941,29.8832749
Duke University,Durham,USA,"Durham, USA",-78.898619,35.9940329
Duke University,Durham,USA,"Durham, USA",-78.898619,35.9940329
Eastern Washington University,Seattle,USA,"Seattle, USA",-122.3320708,47.6062095
Florida International University,Miami,USA,"Miami, USA",-80.1917902,25.7616798
Fort Lewis College,Durango,USA,"Durango, USA",-107.8800667,37.27528
Grand Valley State University,Allendale,USA,"Allendale, USA",-81.3084405,33.0079345
Illinois Institute of Technology,Chicago,USA,"Chicago, USA",-87.6297982,41.8781136
McDaniel College,Westminster,USA,"Westminster, USA",-117.9897058,33.7591757
Michigan State University,East Lansing,USA,"East Lansing, USA",-84.48386540000001,42.7369792
Michigan State University,East Lansing,USA,"East Lansing, USA",-84.48386540000001,42.7369792
MIT,Cambridge,USA,"Cambridge, USA",-71.10973349999999,42.3736158
Nicholls State University,Thibodaux,USA,"Thibodaux, USA",-90.82287099999999,29.7957633
Northern Illinois University,DeKalb,USA,"DeKalb, USA",-88.75036469999999,41.9294736
Oklahoma State University,Stillwater,USA,"Stillwater, USA",-97.0583681,36.1156071
Penn State University,University Park,USA,"University Park, USA",-77.86531260000001,40.8147955
Penn State University (University Park),University Park,USA,"University Park, USA",-77.86531260000001,40.8147955
Rutgers university - Camden,Camden,USA,"Camden, USA",-75.1196199,39.9259463
Saint Joseph's University,Philadelphia,USA,"Philadelphia, USA",-75.1652215,39.9525839
Southern Illinois University Carbondale,Carbondale,USA,"Carbondale, USA",-89.2167501,37.7272727
Southern Oregon University,Ashland,USA,"Ashland, USA",-122.7094767,42.1945758
Texas Tech University,Lubbock,USA,"Lubbock, USA",-101.8551665,33.5778631
Tufts University,Medford,USA,"Medford, USA",-71.1061639,42.4184296
UC - Riverside,Riverside,USA,"Riverside, USA",-117.3961564,33.9533487
UCSD,San Diego,USA,"San Diego, USA",-117.1610838,32.715738
University of Arkansas Department of Psychological Science,Fayetteville,USA,"Fayetteville, USA",-78.87835849999999,35.0526641
University of California Irvine,Irvine,USA,"Irvine, USA",-117.8265049,33.6845673
"University of California, San Francisco",San Francisco,USA,"San Francisco, USA",-122.4194155,37.7749295
"University of California, Santa Barbara",Santa Barbara,USA,"Santa Barbara, USA",-119.6981901,34.4208305
University of Illinois,Urbana-Champaign,USA,"Urbana-Champaign, USA",-88.2271615,40.1019523
University of Missouri Columbia,Columbia,USA,"Columbia, USA",-81.0348144,34.0007104
"University of North Carolina, Charlotte",Charlotte,USA,"Charlotte, USA",-80.8431267,35.2270869
University of Oklahoma,Norman,USA,"Norman, USA",-97.4394777,35.2225668
University of Oregon,Eugene,USA,"Eugene, USA",-123.0867536,44.0520691
University of Southern Indiana,Evansville,USA,"Evansville, USA",-87.5710898,37.9715592
University of Virginia,Charlottesville,USA,"Charlottesville, USA",-78.47667810000002,38.0293059
University of Wisconsin-Stout,Menomonie,USA,"Menomonie, USA",-91.9193422,44.8755183
Vanderbilt University,Nashville,USA,"Nashville, USA",-86.7816016,36.1626638
Vassar College,Poughkeepsie,USA,"Poughkeepsie, USA",-73.9209701,41.7003713
Virginia Commonwealth University,Richmond,USA,"Richmond, USA",-77.4360481,37.5407246
Willamette University,Salem,USA,"Salem, USA",-70.8967155,42.51954
